Rice 140: (724, 737), (759, 737), (759, 807), (724, 807)
Rice 141: (319, 737), (384, 737), (384, 784), (319, 784)
Rice 142: (1078, 735), (1134, 735), (1134, 799), (1078, 799)
Rice 143: (532, 735), (567, 735), (567, 805), (532, 805)
Rice 144: (157, 733), (213, 733), (213, 797), (157, 797)
Rice 145: (1136, 711), (1168, 711), (1168, 769), (1136, 769)
Rice 146: (1019, 709), (1090, 709), (1090, 731), (1019, 731)
Rice 147: (123, 709), (155, 709), (155, 767), (123, 767)
Rice 148: (201, 707), (272, 707), (272, 729), (201, 729)
Rice 149: (1239, 705), (1290, 705), (1290, 732), (1239, 732)
Rice 150: (0, 703), (52, 703), (52, 730), (0, 730)
